idTweet;text;rotulado;categoriaRotulo;Latitude;Longitude
6.006788176e+17;Dono dos meus olhares, me rouba suspiros e ares. até q enfim te achei, fui em muitos lugares.;True;Sem relação;-23.5195724;-46.5383366
5.728817883e+17;Nossa, fui p cozinha agora e tinha um sutiã meu, oq fzr c esse cachorro q rouba sutiã e deixa no meio de casa deus ?;True;Sem relação;-23.5195594;-46.5382697
5.525269848e+17;Dono dos meus olhares, me rouba suspiros e ares, até que enfim te achei fui em muitos lugares milhares... 💜;True;Sem relação;-23.5215719;-46.4178552
5.489121534e+17;Meu pai é tão zika q ele rouba até meus tennis , ai fui la e roubei um dele tbm;True;Sem relação;-23.6105154;-46.558784
5.143605162e+17;Dono dos meus olhares, me rouba suspiro e ares, até que enfim te achei fui em muitos lugares..;True;Sem relação;-23.4353095;-46.7534989
4.907061135e+17;"Fui no mc e o batata abre o porta mala rouba a placa de ""não pise, chão molhado""";True;Sem relação;-23.6005918;-46.5202946
4.489963057e+17;"""dona dos meus olhares me rouba suspiros e ares, até que enfim te achei fui em muitos lugares.."" ♥♥♥";True;Sem relação;-23.5017407;-46.7500013
4.151507051e+17;Dono dos meus olhares, me rouba suspiros e ares, até que enfim te achei fui em muitos lugares, milhares.;True;Sem relação;-23.6575328;-46.7335389
1.471285445e+17;@rkschilling o povo rouba! incrivel, fui numa festa de debutante uma vez e até lá levaram o guarda-chuva q nem meu era, era emprestado! xd;True;Sem relação;-23.55042293;-46.678144
5.434962257e+17;Quando um chefe de família vive no crime entre seus filhos algum será criminoso ou todos serão e o q está acontecendo com a aeronáutica;True;Sem relação;-23.6412185;-46.674119
1.21941384e+18;".

🙏🏻oração do perdão 

🙏🏻perdôo espontânea e integralmente,( nome) a todos os encarnados e desencarnados que me feriram, me magoaram, me exploraram, me caluniaram, me roubaram, me mataram ou me maltrataram de alguma… https://t.co/5hutafuxhj";True;Sem relação;-23.5568523;-46.4735204
1.186369647e+18;"Queridos amigos hoje quero agradecer a todos vocês que roubaram um pouco do seu tempo para me parabenizar.

suas palavras alegraram meu coração, e todas estas mensagens fizeram do meu aniversário um dia ainda mais… https://t.co/i36dsqyvwm";True;Sem relação;-23.55;-46.6333
1.056653764e+18;🎶ouvi tua voz, me chamando pra viver melhor, do que as guerras e morte roubaram de mim, som que liberta, luz de vida que me invade, me trouxe asas, voar no som… https://t.co/wwywxehhpp;True;Sem relação;-23.55289453;-46.61046099
7.505010828e+17;Tubarões me mordam! roubaram minhas esfihas!😫😲💀⚓️#esfiha #integral #semgluten #ricota… https://t.co/bw49j7nrfi;True;Sem relação;-23.55;-46.6333
5.720835887e+17;Roubaram meu domingo. to me sentindo desanimado;True;Sem relação;-23.5021955;-46.58738284
5.598421533e+17;"@tresportes @fuzilhumor @retortorelli @porpetonehumor
há falta d'aguá tá tão feia aqui na quebrada que ontem me roubaram meu squeeze de aguá";True;Sem relação;-23.5313716;-46.5310355
5.446362339e+17;Tenho que aprender a jogar melhor poker, esses fdps me roubaram..;True;Sem relação;-23.6090115;-46.4667822
5.131933761e+17;@anvisa_oficial minha vida acabou desde que vcs proibiram o medicamento, me roubaram a saude, a alegria de viver, meu marido perdeu a esposa;True;Sem relação;-23.5291335;-46.4319589
5.131391181e+17;Vao reduzir a tarifa do bus... e tudo que já me roubaram?  oo;True;Sem relação;-23.5246042;-46.6697066
5.112978623e+17;Lembro direitinho! foi no dia 09/09/2013! quando me roubaram o celular 😭;True;Sem relação;-23.55530952;-46.65212232
5.021715409e+17;Ontem eu tinha voltado a jogar um jogo q eu era viciado e só parei de jogar pq me roubaram   um império todo;True;Sem relação;-23.4846304;-46.6863013
4.807994627e+17;Sonhei que tinha comprado um cd do hellyeah e me roubaram, e ia ter treta de 2 grupos de new metal e só não me envolvi por ser mod. da nmb;True;Sem relação;-23.6172456;-46.4716451
4.688959553e+17;Mano me roubaram dentro da minha casa puta merda;True;Sem relação;-23.48597911;-46.74204706
4.355810953e+17;Estou a poucos passos de fingir que me roubaram, prefiro um celular sem nada do que continuar com esse do jeito que ta...;True;Sem relação;-23.5797907;-46.5749715
4.101852766e+17;Cheeeguei, me roubaram um selinho hoje na rua, se eu não coloca-se a mão ia ser um beijo;True;Assédio;-23.5118608;-46.5340075
4.036816733e+17;@_velopes espero, é pq me roubaram na escola mor;True;Roubo;-23.66348979;-46.69146249
3.868674948e+17;Façam suas apostas: eu perdi minha carteira ou me roubaram? rs;True;Sem relação;-23.5585341;-46.5940747
3.858437794e+17;Agora eu fiquei triste  e me desespero  porque roubaram meu camaro amarelo 😂🎵;True;Sem relação;-23.53630093;-46.56236531
3.813821911e+17;Vcs roubaram meu coração e eu pra me vingar roubei o sobrenome de vcs http://t.co/ddbzyhujql;True;Sem relação;-23.62325175;-46.46265532
3.798931838e+17;Sonhei que eu tinha 2 iphones e me roubaram os dois em una festa paia 😒;True;Sem relação;-23.58519386;-46.76147254
3.548162386e+17;Tenho que me animar mais, voltar a ser  como antes. credo, não era assim na moral, roubaram minha felicidade só pode!;True;Sem relação;-23.504679;-46.7117083
3.530331132e+17;@_laryramoos clarooooo que é haha roubaram minha beleza :c kkk me da um pouco da sua vai? não vai fazer falta kk;True;Sem relação;-23.4925857;-46.4363508
3.406637359e+17;Mas meu pai me trouxe uma maravilhosa noticia que me fez, abri por alguns instante o sorriso q me roubaram;True;Sem relação;-23.69158557;-46.63361468
3.366975544e+17;Ai neh me roubaram minhas canetas e a borracha isso q nen tenho estojo;True;Sem relação;-23.5206167;-46.5105555
3.35958609e+17;@_danissauro sim, eu to c esse cel ate eu ganhar outro kkk me roubaram;True;Roubo;-23.4918616;-46.7012928
